iter	Passed	Remaining
1144	66009	20465
1145	66072	20409
1146	66124	20350
1147	66174	20290
1148	66221	20229
1149	66269	20168
1150	66317	20108
1151	66364	20047
1152	66412	19987
1153	66464	19927
1154	66509	19866
1155	66559	19806
1156	66607	19746
1157	66654	19685
1158	66701	19624
1159	66749	19564
1160	66806	19506
1161	66853	19446
1162	66902	19386
1163	66951	19326
1164	67029	19274
1165	67123	19227
1166	67195	19173
1167	67246	19114
1168	67294	19054
1169	67347	18995
1170	67401	18936
1171	67449	18876
1172	67502	18817
1173	67551	18757
1174	67621	18703
1175	67718	18657
1176	67770	18598
1177	67818	18537
1178	67870	18478
1179	67928	18421
1180	68011	18370
1181	68081	18316
1182	68176	18268
1183	68232	18210
1184	68287	18152
1185	68345	18094
1186	68452	18050
1187	68566	18007
1188	68630	17951
1189	68707	17898
1190	68767	17841
1191	68814	17780
1192	68860	17720
1193	68907	17659
1194	68955	17599
1195	69002	17539
1196	69048	17478
1197	69099	17419
1198	69182	17367
1199	69241	17310
1200	69313	17256
1201	69382	17201
1202	69439	17143
1203	69495	17085
1204	69561	17029
1205	69633	16975
1206	69687	16916
1207	69738	16857
1208	69789	16797
1209	69846	16740
1210	69913	16684
1211	69972	16627
1212	70034	16570
1213	70095	16513
1214	70149	16454
1215	70200	16395
1216	70269	16340
1217	70345	16286
1218	70418	16232
1219	70474	16174
1220	70525	16115
1221	70590	16059
1222	70639	15999
1223	70685	15938
1224	70733	15878
1225	70779	15818
1226	70826	15758
1227	70874	15698
1228	70921	15638
1229	70970	15578
1230	71032	15522
1231	71079	15462
1232	71130	15402
1233	71179	15343
1234	71224	15282
1235	71270	15222
1236	71316	15162
1237	71364	15103
1238	71412	15043
1239	71460	14983
1240	71509	14924
1241	71557	14864
1242	71604	14804
1243	71653	14745
1244	71696	14684
1245	71742	14624
1246	71790	14565
1247	71840	14506
1248	71896	14448
1249	71945	14389
1250	71994	14329
1251	72044	14270
1252	72090	14211
1253	72139	14151
1254	72187	14092
1255	72233	14032
1256	72281	13973
1257	72365	13920
1258	72442	13867
1259	72497	13809
1260	72554	13751
1261	72605	13692
1262	72650	13632
1263	72696	13573
1264	72743	13513
1265	72802	13456
1266	72849	13396
1267	72896	13337
1268	72946	13278
1269	72996	13219
1270	73052	13162
1271	73103	13103
1272	73158	13045
1273	73225	12989
1274	73339	12942
1275	73415	12887
1276	73462	12828
1277	73507	12768
1278	73554	12709
1279	73602	12650
1280	73653	12591
1281	73705	12533
1282	73760	12475
1283	73876	12427
1284	73948	12372
1285	74012	12316
1286	74062	12257
1287	74109	12198
1288	74154	12138
1289	74206	12080
1290	74259	12021
1291	74302	11961
1292	74348	11902
1293	74414	11846
1294	74496	11792
1295	74559	11736
1296	74611	11677
1297	74661	11619
1298	74722	11562
1299	74775	11503
1300	74826	11445
1301	74882	11387
1302	74932	11328
1303	74978	11269
1304	75026	11210
1305	75075	11152
1306	75124	11093
1307	75171	11034
1308	75218	10975
1309	75267	10916
1310	75316	10858
1311	75378	10801
1312	75435	10743
1313	75512	10689
1314	75574	10632
1315	75624	10573
1316	75670	10514
1317	75716	10455
1318	75766	10397
1319	75822	10339
1320	75882	10282
1321	75934	10224
1322	75984	10165
1323	76036	10107
1324	76082	10048
1325	76132	9990
1326	76180	9931
1327	76226	9872
1328	76274	9814
1329	76324	9755
1330	76392	9699
1331	76487	9647
1332	76607	9597
1333	76677	9541
1334	76726	9483
1335	76775	9424
1336	76822	9365
1337	76871	9307
1338	76949	9252
1339	77025	9197
1340	77097	9141
1341	77154	9083
1342	77206	9025
1343	77272	8969
1344	77339	8912
1345	77434	8859
1346	77528	8806
1347	77593	8749
1348	77670	8693
1349	77729	8636
1350	77789	8579
1351	77856	8522
1352	77909	8464
1353	77958	8406
1354	78024	8349
1355	78081	8291
1356	78131	8233
1357	78180	8175
1358	78231	8116
1359	78295	8059
1360	78356	8002
1361	78404	7944
1362	78458	7886
1363	78517	7828
1364	78569	7770
1365	78630	7713
1366	78704	7657
1367	78807	7604
1368	78870	7547
1369	78920	7488
