DecCrimeFedSpending,interestInElection,PRE_IntentVote,Year,Sex,PartyIDRepublican,IncSpendingServices,WeakReligiousAttendence,WorseEconomyView,AbortionRightsSC,Age,EducationLevel,Income,Race,Region,IncDefenseSpending,IncPrivateMedInsurance,RegistrationStatus,Voted,VotePresident,HH_In_Union,MaritalStatus,FedTaxesNotWasted,DecEmphasisOnTraditionalValues,swing_voter
2,3,1,1972.0,1,1,4,5,4,2,53.0,1,2,1,2,5,3,2,2,1,2,1,1,1,False
1,1,4,1972.0,1,2,6,4,4,3,17.0,2,1,2,3,5,1,2,1,1,2,2,0,2,True
1,3,2,1972.0,1,7,2,1,5,3,83.0,2,4,1,3,6,1,2,1,1,2,1,1,1,True
1,1,1,1972.0,2,1,3,2,4,2,61.0,2,1,1,4,4,1,2,1,1,2,1,0,1,False
1,2,1,1972.0,2,2,3,4,3,4,36.0,2,1,2,3,5,7,2,2,1,2,4,1,2,False
2,2,4,1972.0,2,2,2,5,4,3,0.0,2,1,2,3,4,1,1,1,1,2,4,2,2,True
2,1,3,1972.0,2,2,4,2,4,3,33.0,1,1,1,3,5,1,2,2,2,1,1,1,1,True
1,3,2,1972.0,2,1,4,1,4,2,62.0,2,3,1,3,6,7,2,2,2,2,5,1,2,False
1,2,2,1972.0,1,2,5,1,4,2,52.0,4,3,1,3,6,7,2,2,2,2,1,1,1,False
1,2,2,1972.0,2,2,3,1,3,2,77.0,2,1,1,3,5,1,2,2,2,2,5,1,2,False
2,2,1,1972.0,2,3,4,1,4,3,23.0,4,3,1,2,5,5,2,2,1,2,2,2,2,False
1,3,2,1972.0,1,7,3,1,5,2,54.0,3,4,1,2,6,7,2,2,2,2,1,1,1,False
1,3,4,1972.0,1,7,3,4,4,3,52.0,1,2,1,1,6,7,1,1,1,2,1,1,2,True
1,1,2,1972.0,1,4,5,3,4,2,33.0,2,3,1,2,6,4,2,2,2,1,1,2,2,False
2,1,1,1972.0,2,4,4,4,4,3,22.0,2,3,6,4,5,2,2,1,1,2,1,0,3,False
1,1,4,1972.0,2,2,4,4,4,4,45.0,2,1,1,4,5,1,1,1,1,2,3,2,2,True
2,2,3,1972.0,1,2,4,4,4,3,69.0,1,3,1,4,5,4,2,2,1,2,1,1,2,True
1,3,1,1972.0,2,1,4,1,4,3,68.0,1,2,1,2,6,7,2,2,1,2,5,2,1,False
2,2,2,1972.0,2,2,4,1,4,3,31.0,4,3,2,3,4,2,2,2,1,2,1,1,2,True
2,3,1,1972.0,2,2,3,4,4,4,28.0,4,3,2,3,5,0,2,2,1,1,2,1,2,False
1,3,4,1972.0,1,6,3,4,4,3,36.0,1,4,1,2,6,1,1,1,1,2,1,1,2,True
2,3,2,1972.0,1,4,4,5,4,3,34.0,4,5,1,2,6,6,2,2,2,1,1,1,3,False
2,2,2,1972.0,2,5,4,5,5,3,26.0,2,3,1,2,6,1,2,2,2,1,1,1,3,False
1,2,2,1972.0,2,5,4,2,5,2,36.0,3,4,5,4,5,4,2,2,2,1,1,1,1,False
2,2,2,1972.0,2,5,2,1,4,3,38.0,2,3,1,4,5,5,2,2,2,2,1,2,1,False
1,1,2,1972.0,1,6,3,1,5,2,48.0,4,4,1,1,6,1,2,2,2,2,2,1,1,False
1,3,4,1972.0,2,4,4,4,4,2,68.0,2,3,1,3,6,2,1,1,1,2,5,1,1,True
1,2,2,1972.0,1,2,4,2,4,2,53.0,2,3,1,3,5,7,2,2,1,2,2,1,1,True
1,2,4,1972.0,2,2,4,5,4,3,68.0,1,1,1,2,5,4,1,1,1,2,5,2,2,True
1,1,1,1972.0,2,2,4,1,4,3,75.0,2,1,1,2,6,2,2,2,2,2,1,2,1,True
1,1,4,1972.0,2,4,5,1,4,2,65.0,1,2,1,4,5,1,1,1,1,2,5,1,1,True
2,2,4,1972.0,2,4,6,2,5,3,24.0,4,3,1,4,5,2,2,2,2,2,1,2,2,True
1,2,1,1972.0,2,2,4,4,4,3,34.0,2,4,1,1,6,7,2,1,1,2,1,0,2,False
2,1,4,1972.0,2,5,3,4,3,3,77.0,1,1,1,4,5,1,1,1,1,2,1,0,2,True
1,2,1,1972.0,2,2,3,4,4,2,63.0,1,3,1,2,6,7,2,1,1,2,1,0,1,False
1,2,2,1972.0,1,2,3,1,3,2,42.0,1,3,1,1,5,1,1,1,1,2,1,3,1,True
2,1,1,1972.0,2,2,5,3,4,3,59.0,2,3,2,1,6,1,2,1,1,1,1,1,2,False
2,1,4,1972.0,2,4,4,3,4,3,64.0,1,2,1,1,5,1,1,1,1,1,1,0,2,True
1,3,4,1972.0,2,7,4,5,5,2,61.0,1,1,1,1,6,1,1,1,1,2,5,1,1,True
2,2,2,1972.0,1,5,4,2,4,2,64.0,3,3,1,1,6,7,2,2,2,2,1,1,2,False
1,2,2,1972.0,2,3,3,2,4,2,40.0,2,4,1,1,6,4,2,2,2,2,1,1,1,False
1,2,3,1972.0,2,2,4,4,4,3,49.0,2,1,4,2,5,1,2,2,1,2,5,2,1,True
2,3,2,1972.0,2,7,2,1,5,3,42.0,4,5,1,3,6,1,2,2,2,2,1,1,2,False
1,3,1,1972.0,1,1,4,5,4,3,70.0,1,1,1,2,5,1,2,1,1,2,5,1,2,False
2,2,1,1972.0,2,4,4,5,4,3,39.0,2,3,1,2,5,1,2,1,1,2,1,0,2,False
2,2,1,1972.0,2,2,4,4,4,2,46.0,2,1,2,3,5,1,2,2,2,2,5,1,2,True
1,2,4,1972.0,1,1,5,2,4,2,68.0,1,1,2,3,4,1,2,2,1,2,4,1,2,True
2,2,2,1972.0,2,6,4,4,5,3,35.0,2,3,1,3,6,7,2,2,2,1,1,1,2,False
1,3,2,1972.0,1,7,4,1,3,2,75.0,2,1,1,3,6,4,2,2,2,2,1,1,1,False
2,2,2,1972.0,2,5,3,2,4,2,29.0,2,2,1,3,5,1,1,1,1,2,1,0,2,True
1,3,1,1972.0,1,1,4,1,3,3,75.0,1,1,1,3,6,1,2,2,1,2,1,1,1,False
2,2,4,1972.0,2,5,3,4,3,3,77.0,2,2,1,3,5,6,1,1,1,2,2,1,2,True
1,1,4,1972.0,2,4,2,5,4,3,69.0,2,1,1,3,5,4,1,1,1,2,5,1,2,True
2,2,4,1972.0,2,5,4,1,4,2,26.0,2,1,1,3,6,1,1,1,1,2,2,1,2,True
2,2,4,1972.0,1,4,4,4,5,3,22.0,2,2,1,4,5,0,1,1,1,1,1,1,3,True
1,3,1,1972.0,2,2,5,4,4,4,19.0,3,4,1,2,5,2,2,2,1,1,2,2,3,False
2,3,2,1972.0,1,6,3,1,4,2,44.0,4,4,1,2,5,3,2,2,2,2,1,3,1,False
2,1,2,1972.0,1,5,3,4,4,3,27.0,2,3,1,2,4,7,2,2,2,2,1,2,2,False
1,3,1,1972.0,2,1,4,1,4,3,39.0,3,4,1,1,5,1,2,2,1,1,1,2,1,False
1,2,3,1972.0,2,2,5,5,4,4,20.0,2,2,1,2,5,4,2,2,1,1,1,1,2,True
1,2,1,1972.0,2,6,3,4,4,3,73.0,2,1,1,2,6,7,2,1,1,2,5,1,1,False
2,1,1,1972.0,2,3,5,1,4,3,18.0,2,3,1,4,6,1,1,1,1,2,2,2,2,False
2,2,2,1972.0,2,6,3,4,4,3,61.0,2,3,1,3,5,7,2,2,2,2,1,1,2,False
1,3,1,1972.0,2,2,5,3,4,4,66.0,4,4,1,3,4,2,2,2,1,2,1,2,3,False
2,2,1,1972.0,1,3,3,5,4,3,28.0,3,4,1,4,5,5,2,2,1,2,1,2,2,False
1,2,2,1972.0,2,6,2,4,4,3,24.0,4,3,1,4,6,4,2,2,1,2,2,1,2,True
1,2,2,1972.0,2,5,4,5,4,4,23.0,2,3,1,4,6,4,2,2,2,1,1,2,3,False
1,2,2,1972.0,1,5,3,2,5,2,44.0,2,4,1,2,5,7,2,2,2,1,1,1,1,False
1,2,3,1972.0,2,5,4,3,4,3,25.0,2,3,4,4,6,4,2,2,1,1,1,2,1,True
2,2,2,1972.0,1,6,3,5,4,3,31.0,3,4,1,4,7,7,2,1,1,2,1,0,2,True
1,2,2,1972.0,2,2,3,1,4,3,33.0,2,4,1,4,5,4,1,1,1,2,1,1,2,True
1,1,1,1972.0,2,2,5,4,4,4,26.0,2,3,2,2,5,7,2,2,1,1,1,2,2,False
2,1,1,1972.0,2,2,4,4,4,3,32.0,2,3,1,4,6,5,1,1,1,1,1,1,2,False
1,2,3,1972.0,2,4,4,4,5,3,27.0,2,3,1,4,4,1,2,2,2,1,3,1,2,True
1,2,1,1972.0,2,2,4,4,4,3,27.0,2,3,1,2,4,6,1,1,1,1,1,1,2,False
1,2,2,1972.0,1,5,4,4,4,3,20.0,3,3,1,4,6,4,2,2,2,1,1,2,1,False
1,2,2,1972.0,2,6,5,1,5,2,58.0,2,3,1,1,6,3,2,2,2,1,1,2,1,False
1,1,4,1972.0,2,0,4,4,4,2,78.0,1,1,1,3,4,1,1,1,1,2,5,2,2,True
2,2,2,1972.0,2,2,5,3,4,3,24.0,3,3,1,3,5,4,2,2,2,2,1,1,2,False
1,3,2,1972.0,1,4,4,1,5,2,26.0,3,2,1,3,5,7,2,2,2,2,1,1,2,False
1,1,1,1972.0,1,4,4,4,5,3,22.0,2,1,1,3,6,2,1,1,1,2,1,1,3,False
1,1,1,1972.0,2,7,3,4,4,3,62.0,1,3,1,2,6,5,2,1,1,2,1,1,2,False
2,1,2,1972.0,2,5,4,5,5,3,26.0,2,4,1,2,5,2,2,2,2,1,1,1,3,False
2,2,2,1972.0,2,5,5,3,4,3,19.0,2,2,2,3,4,4,1,1,1,1,2,2,3,True
1,3,2,1972.0,2,1,5,2,5,3,30.0,2,4,1,2,5,4,2,2,2,2,1,2,2,False
2,1,2,1972.0,1,3,4,4,4,3,38.0,2,4,1,3,6,1,2,1,1,2,1,0,2,True
2,1,4,1972.0,2,5,2,4,4,3,68.0,1,1,1,3,5,1,1,1,1,2,1,1,1,True
1,1,4,1972.0,2,2,4,1,5,2,42.0,2,3,1,3,5,7,1,1,1,2,1,2,1,True
2,0,2,1972.0,1,7,3,1,4,3,34.0,3,4,1,4,5,7,2,2,2,1,1,3,1,False
1,1,1,1972.0,1,2,4,3,5,3,47.0,4,3,1,4,5,7,2,2,1,2,1,1,3,False
1,1,1,1972.0,2,2,3,4,4,2,78.0,1,1,1,2,4,1,2,1,1,2,5,1,2,False
1,3,2,1972.0,1,7,4,2,4,2,82.0,2,1,1,2,6,4,2,2,2,2,5,1,2,False
2,3,2,1972.0,1,6,2,3,4,3,58.0,4,4,1,1,5,4,2,2,2,2,2,2,2,False
1,1,4,1972.0,1,4,4,0,3,2,62.0,1,1,1,4,6,0,1,1,1,1,5,0,2,True
1,2,2,1972.0,2,2,3,2,4,3,29.0,2,3,1,4,4,7,2,1,1,2,1,0,2,True
2,2,4,1972.0,2,2,4,4,4,2,21.0,2,2,1,4,5,0,1,1,1,2,1,2,2,True
2,2,2,1972.0,2,7,2,4,4,2,57.0,3,4,1,4,6,5,2,1,1,2,1,0,1,True
2,2,2,1972.0,2,4,5,4,4,4,22.0,2,3,1,3,6,7,2,2,2,1,1,2,2,False
2,2,2,1972.0,2,2,4,4,4,3,58.0,4,1,1,2,4,6,2,2,2,1,1,1,2,False
