Total population,Total citizen population,Total registered,"Percent registered
(Total)",Registered-Margin of error 1,"Percent registered
(Citizen)",Registered-Margin of error 1.1,Total voted,"Percent voted
(Total)",Voted-Margin of error 1,"Percent voted
(Citizen)",Voted-Margin of error 1.1
"1,820","1,742","1,214",66.7,4.4,69.7,4.3,"1,082",59.5,4.5,62.1,4.6
"2,212","2,120","1,486",67.2,3.9,70.1,3.9,"1,362",61.6,4.1,64.2,4.1
"2,048","2,022","1,426",69.6,4,70.5,4,"1,309",63.9,4.2,64.7,4.2
"1,068","1,048",720,67.5,5.4,68.7,5.4,607,56.9,5.7,57.9,5.7
84,57,23,B,B,B,B,23,B,B,B,B
210,131,84,40,13.9,64.3,17.3,72,34.3,13.5,55.1,17.9
"2,261","2,169","1,524",67.4,3.9,70.3,3.9,"1,396",61.8,4,64.4,4.1
"1,092","1,072",737,67.5,5.3,68.8,5.3,624,57.2,5.6,58.2,5.7
90,63,29,B,B,B,B,26,B,B,B,B
"1,087","1,075",832,76.5,3.2,77.4,3.2,766,70.5,3.4,71.3,3.4
523,515,383,73.2,4.8,74.3,4.8,351,67.2,5.1,68.2,5.1
564,560,449,79.5,4.2,80.2,4.2,415,73.5,4.6,74.1,4.6
"1,036","1,031",803,77.5,3.2,77.9,3.2,739,71.3,3.5,71.7,3.5
"1,027","1,022",798,77.7,3.2,78.1,3.2,734,71.5,3.5,71.8,3.5
13,8,4,B,B,B,B,4,B,B,B,B
10,7,6,B,B,B,B,6,B,B,B,B
11,11,7,B,B,B,B,7,B,B,B,B
"1,058","1,053",818,77.3,3.2,77.7,3.2,752,71.1,3.5,71.4,3.5
15,10,6,B,B,B,B,6,B,B,B,B
18,15,12,B,B,B,B,12,B,B,B,B
"4,606","4,303","3,383",73.4,2.7,78.6,2.6,"3,166",68.7,2.9,73.6,2.8
"2,199","2,052","1,517",69,4.1,73.9,4,"1,430",65,4.2,69.7,4.2
"2,407","2,251","1,865",77.5,3.6,82.9,3.3,"1,737",72.2,3.8,77.2,3.7
"2,757","2,650","2,069",75,3.4,78.1,3.4,"1,917",69.5,3.7,72.3,3.6
"2,487","2,469","1,934",77.8,3.5,78.3,3.5,"1,786",71.8,3.8,72.3,3.8
"1,421","1,289","1,022",71.9,4.8,79.3,4.5,971,68.3,4.9,75.3,4.8
302,239,166,55,11.8,69.7,12.2,153,50.6,11.8,64.1,12.8
323,195,150,46.2,12.1,76.7,13.2,145,44.9,12.1,74.4,13.6
"2,840","2,732","2,151",75.7,3.4,78.7,3.3,"1,999",70.4,3.6,73.2,3.5
"1,482","1,350","1,083",73.1,4.6,80.2,4.3,"1,032",69.6,4.8,76.4,4.6
337,273,201,59.7,11,73.5,11,187,55.6,11.1,68.6,11.5
"5,514","4,897","3,546",64.3,2.6,72.4,2.6,"3,249",58.9,2.7,66.3,2.7
"2,642","2,311","1,656",62.7,3.8,71.6,3.8,"1,505",57,3.9,65.1,4
"2,872","2,586","1,891",65.8,3.6,73.1,3.5,"1,744",60.7,3.7,67.4,3.7
"4,429","4,140","3,174",71.7,2.8,76.7,2.7,"2,936",66.3,2.9,70.9,2.9
"3,953","3,799","2,949",74.6,2.8,77.6,2.8,"2,749",69.6,3,72.4,3
489,390,165,33.6,8.3,42.2,9.7,142,29,8,36.4,9.5
415,244,139,33.5,9.3,57.1,12.7,109,26.3,8.7,44.9,12.8
636,449,271,42.6,8.3,60.4,9.8,227,35.8,8.1,50.7,10
"4,597","4,251","3,233",70.3,2.7,76.1,2.7,"2,988",65,2.9,70.3,2.9
640,484,211,32.9,7.2,43.5,8.8,181,28.3,6.9,37.4,8.5
433,262,157,36.3,9.3,60.1,12.1,128,29.4,8.8,48.7,12.4
"7,790","7,467","5,513",70.8,2.1,73.8,2.1,"4,994",64.1,2.2,66.9,2.2
"3,795","3,616","2,648",69.8,3.1,73.2,3,"2,378",62.7,3.2,65.8,3.2
"3,995","3,851","2,865",71.7,2.9,74.4,2.9,"2,616",65.5,3.1,67.9,3.1
"6,269","6,118","4,568",72.9,2.3,74.7,2.3,"4,144",66.1,2.5,67.7,2.5
"5,922","5,865","4,408",74.4,2.3,75.2,2.3,"3,997",67.5,2.5,68.2,2.5
"1,021",984,713,69.8,5.6,72.4,5.6,628,61.5,6,63.8,6
281,145,72,25.7,10.5,49.6,16.8,65,23.3,10.2,45.1,16.7
406,302,178,43.9,10.6,58.9,12.2,165,40.7,10.5,54.7,12.3
"6,374","6,223","4,649",72.9,2.3,74.7,2.3,"4,225",66.3,2.4,67.9,2.4
